title,year,critic_score,people_score,box_office,film,winner,category
Avengers: Endgame,2019,94,90,$858.4M,Avengers: Endgame,FALSE,VISUAL EFFECTS
Parasite,2019,98,90,$53.4M,Parasite,TRUE,BEST PICTURE
Toy Story 4,2019,97,94,$434.0M,Toy Story 4,TRUE,ANIMATED FEATURE FILM
Pain and Glory,2019,96,91,$4.6M,Pain and Glory,FALSE,INTERNATIONAL FEATURE FILM
Judy,2019,81,85,$24.3M,Judy,TRUE,ACTRESS IN A LEADING ROLE
Knives Out,2019,97,92,$165.4M,Knives Out,FALSE,WRITING (Original Screenplay)
How to Train Your Dragon: The Hidden World,2019,90,86,$160.8M,How to Train Your Dragon: The Hidden World,FALSE,ANIMATED FEATURE FILM
Missing Link,2019,88,67,$16.6M,Missing Link,FALSE,ANIMATED FEATURE FILM
1917,2019,89,88,$159.2M,1917,TRUE,CINEMATOGRAPHY
The Lighthouse,2019,90,72,$10.9M,The Lighthouse,FALSE,CINEMATOGRAPHY
I Lost My Body,2019,96,83,,I Lost My Body,FALSE,ANIMATED FEATURE FILM
A Shaun the Sheep Movie: Farmageddon,2019,96,80,,A Shaun the Sheep Movie: Farmageddon,FALSE,ANIMATED FEATURE FILM
Klaus,2019,94,96,,Klaus,FALSE,ANIMATED FEATURE FILM
Collective,2019,99,92,,Collective,FALSE,DOCUMENTARY (Feature)
The Irishman,2019,95,86,,The Irishman,FALSE,ACTOR IN A SUPPORTING ROLE
Marriage Story,2019,94,85,,Marriage Story,TRUE,ACTRESS IN A SUPPORTING ROLE
Border,2018,97,76,$771.9K,Border,FALSE,MAKEUP AND HAIRSTYLING
Black Panther,2018,96,79,$700.2M,Black Panther,TRUE,COSTUME DESIGN
A Quiet Place,2018,96,82,$68.4M,A Quiet Place,FALSE,SOUND EDITING
Avengers: Infinity War,2018,85,91,$678.8M,Avengers: Infinity War,FALSE,VISUAL EFFECTS
Incredibles 2,2018,93,84,$608.6M,Incredibles 2,FALSE,ANIMATED FEATURE FILM
BlacKkKlansman,2018,96,83,$48.6M,BlacKkKlansman,TRUE,WRITING (Adapted Screenplay)
First Man,2018,87,67,$44.8M,First Man,TRUE,VISUAL EFFECTS
Cold War,2018,92,81,$4.6M,Cold War,FALSE,FOREIGN LANGUAGE FILM
The Favourite,2018,93,69,$34.2M,The Favourite,TRUE,ACTRESS IN A LEADING ROLE
Isle of Dogs,2018,90,87,$31.9M,Isle of Dogs,FALSE,ANIMATED FEATURE FILM
Shoplifters,2018,99,91,$3.3M,Shoplifters,FALSE,FOREIGN LANGUAGE FILM
A Star Is Born,2018,90,79,$215.3M,A Star Is Born,TRUE,MUSIC (Original Song)
Ralph Breaks the Internet,2018,88,65,$201.1M,Ralph Breaks the Internet,FALSE,ANIMATED FEATURE FILM
Spider-Man: Into the Spider-Verse,2018,97,93,$190.2M,Spider-Man: Into the Spider-Verse,TRUE,ANIMATED FEATURE FILM
Free Solo,2018,97,93,$17.5M,Free Solo,TRUE,DOCUMENTARY (Feature)
RBG,2018,93,79,$14.0M,RBG,FALSE,DOCUMENTARY (Feature)
Minding the Gap,2018,100,92,,Minding the Gap,FALSE,DOCUMENTARY (Feature)
Roma,2018,95,72,,Roma,TRUE,FOREIGN LANGUAGE FILM
The Ballad of Buster Scruggs,2018,89,77,,The Ballad of Buster Scruggs,FALSE,COSTUME DESIGN
Faces Places,2017,99,89,$952.7K,Faces Places,FALSE,DOCUMENTARY (Feature)
Blade Runner 2049,2017,88,81,$91.5M,Blade Runner 2049,TRUE,CINEMATOGRAPHY
The Post,2017,88,73,$81.4M,The Post,FALSE,ACTRESS IN A LEADING ROLE
The Shape of Water,2017,92,72,$63.3M,The Shape of Water,TRUE,BEST PICTURE
Star Wars: The Last Jedi,2017,90,42,$620.2M,Star Wars: The Last Jedi,FALSE,MUSIC (Original Score)
Loveless,2017,95,83,$564.1K,Loveless,FALSE,FOREIGN LANGUAGE FILM
The Florida Project,2017,96,80,$5.8M,The Florida Project,FALSE,ACTOR IN A SUPPORTING ROLE
Lady Bird,2017,99,79,$48.9M,Lady Bird,FALSE,BEST PICTURE
The Big Sick,2017,98,88,$42.9M,The Big Sick,FALSE,WRITING (Original Screenplay)
Guardians of the Galaxy Vol. 2,2017,85,87,$389.8M,Guardians of the Galaxy Vol. 2,FALSE,VISUAL EFFECTS
The Breadwinner,2017,95,87,$302.9K,The Breadwinner,FALSE,ANIMATED FEATURE FILM
"I, Tonya",2017,90,88,$30.0M,"I, Tonya",TRUE,ACTRESS IN A SUPPORTING ROLE
Logan,2017,93,90,$226.3M,Logan,FALSE,WRITING (Adapted Screenplay)
Coco,2017,97,94,$210.5M,Coco,TRUE,ANIMATED FEATURE FILM
The Disaster Artist,2017,91,85,$21.1M,The Disaster Artist,FALSE,WRITING (Adapted Screenplay)
Phantom Thread,2017,91,71,$20.9M,Phantom Thread,TRUE,COSTUME DESIGN
A Fantastic Woman,2017,94,78,$2.0M,A Fantastic Woman,TRUE,FOREIGN LANGUAGE FILM
Dunkirk,2017,92,81,$188.0M,Dunkirk,TRUE,FILM EDITING
Call Me by Your Name,2017,94,86,$18.0M,Call Me by Your Name,TRUE,WRITING (Adapted Screenplay)
Get Out,2017,98,86,$176.0M,Get Out,TRUE,WRITING (Original Screenplay)
War for the Planet of the Apes,2017,94,84,$146.8M,War for the Planet of the Apes,FALSE,VISUAL EFFECTS
Baby Driver,2017,92,86,$107.8M,Baby Driver,FALSE,FILM EDITING
Strong Island,2017,100,57,,Strong Island,FALSE,DOCUMENTARY (Feature)
The Red Turtle,2016,93,81,$920.1K,The Red Turtle,FALSE,ANIMATED FEATURE FILM
I Am Not Your Negro,2016,99,83,$7.1M,I Am Not Your Negro,FALSE,DOCUMENTARY (Feature)
Kubo and the Two Strings,2016,97,86,$48.0M,Kubo and the Two Strings,FALSE,ANIMATED FEATURE FILM
Manchester by the Sea,2016,96,78,$47.7M,Manchester by the Sea,TRUE,ACTOR IN A LEADING ROLE
The Jungle Book,2016,94,86,$364.0M,The Jungle Book,TRUE,VISUAL EFFECTS
The Salesman,2016,96,84,$3.4M,The Salesman,TRUE,FOREIGN LANGUAGE FILM
My Life as a Zucchini,2016,99,89,$292.3K,My Life as a Zucchini,FALSE,ANIMATED FEATURE FILM
Moonlight,2016,98,79,$27.9M,Moonlight,TRUE,ACTOR IN A SUPPORTING ROLE
Florence Foster Jenkins,2016,87,68,$27.4M,Florence Foster Jenkins,FALSE,ACTRESS IN A LEADING ROLE
Hell or High Water,2016,97,88,$27.0M,Hell or High Water,FALSE,BEST PICTURE
Moana,2016,95,89,$248.8M,Moana,FALSE,MUSIC (Original Song)
Doctor Strange,2016,89,85,$232.6M,Doctor Strange,FALSE,VISUAL EFFECTS
Hidden Figures,2016,93,93,$169.3M,Hidden Figures,FALSE,WRITING (Adapted Screenplay)
La La Land,2016,90,81,$151.1M,La La Land,TRUE,ACTRESS IN A LEADING ROLE
Arrival,2016,94,82,$100.5M,Arrival,TRUE,SOUND EDITING
Toni Erdmann,2016,93,73,$1.5M,Toni Erdmann,FALSE,FOREIGN LANGUAGE FILM
Zootopia,2016,98,92,,Zootopia,TRUE,ANIMATED FEATURE FILM
Amy,2015,95,87,$8.4M,Amy,TRUE,DOCUMENTARY (Feature)
Bridge of Spies,2015,90,87,$72.3M,Bridge of Spies,TRUE,ACTOR IN A SUPPORTING ROLE
The Hateful Eight,2015,74,76,$54.1M,The Hateful Eight,TRUE,MUSIC (Original Score)
Sicario,2015,92,85,$46.9M,Sicario,FALSE,CINEMATOGRAPHY
Spotlight,2015,97,93,$45.0M,Spotlight,TRUE,BEST PICTURE
Brooklyn,2015,97,87,$38.3M,Brooklyn,FALSE,ACTRESS IN A LEADING ROLE
Anomalisa,2015,92,71,$3.4M,Anomalisa,FALSE,ANIMATED FEATURE FILM
Ex Machina,2015,92,86,$25.4M,Ex Machina,TRUE,VISUAL EFFECTS
The Martian,2015,91,91,$228.4M,The Martian,FALSE,ACTOR IN A LEADING ROLE
Inside Out,2015,98,89,$2.0M,Inside Out,TRUE,ANIMATED FEATURE FILM
